model,resampler,select_k,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,n_inner,f1,precision,recall,roc_auc,auprc
LGBM,SMOTE,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 50}",0.5931719973723633,no_acc,39,5,0.3950617283950617,0.5245901639344263,0.31683168316831684,0.5700458105512044,0.5249497788544222
LGBM,SMOTE,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 50}",0.5745628622151309,no_acc,39,5,0.6138613861386139,0.5904761904761905,0.6391752577319587,0.690256569258197,0.5938026823007196
LGBM,SMOTE,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 50}",0.5910879927744068,no_acc,39,5,0.6101694915254238,0.4931506849315068,0.8,0.6704834605597964,0.5806482873080486
LGBM,SMOTE,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.6072204261492702,no_acc,39,5,0.4189189189189189,0.6326530612244898,0.31313131313131315,0.5788655788655788,0.5639753090842524
LGBM,SMOTE,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'num_leaves': 50}",0.5631324672417766,no_acc,39,5,0.5757575757575758,0.562962962962963,0.5891472868217055,0.5464424141749723,0.5801596327577082
LGBM,SMOTE,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 50}",0.5389982266215576,no_acc,39,5,0.776,0.7293233082706767,0.8290598290598291,0.7841126194067372,0.8245965598151024
LGBM,SMOTE,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5538561440838601,no_acc,39,5,0.6216216216216216,0.5948275862068966,0.6509433962264151,0.6762475753835304,0.6550465460290343
LGBM,SMOTE,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 50}",0.5895188342405435,no_acc,39,5,0.6051282051282051,0.6629213483146067,0.5566037735849056,0.68144111906311,0.6431223239404733
LGBM,SMOTE,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 10, 'num_leaves': 31}",0.6086809033470576,no_acc,39,5,0.5232067510548524,0.4460431654676259,0.6326530612244898,0.5345113655218185,0.47939374790697437
LGBM,SMOTE,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 8, 'num_leaves': 50}",0.5802536915022236,no_acc,39,5,0.5625,0.627906976744186,0.5094339622641509,0.6508620689655172,0.5954396541293605
